file,class,sampling_rate,delta,lag_samples,lag_seconds,K,mutual_information_bits
2026-05-11 17-18-20.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.8006021782611338
2026-05-11 17-18-59.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.6960958619398275
2026-05-11 17-19-28.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.797590711820514
2026-05-11 17-20-13.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.7821319825193834
2026-05-11 17-20-39.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.7488482826264177
2026-05-11 17-21-31.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.6245079277896808
2026-05-11 17-24-03.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.6181804772908286
2026-05-11 17-26-42.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.7424597848695897
2026-05-11 17-29-53.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.9116670504601881
2026-05-11 17-31-00.wav,music,48000,0.1,1,2.0833333333333333e-05,20,1.0828713653650786
2026-05-11 17-14-19.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6735608231775048
2026-05-11 17-14-36.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6536078059622609
2026-05-11 17-14-53.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6610180425900347
2026-05-11 17-15-08.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6596190634920376
2026-05-11 17-15-22.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6692908729062357
2026-05-11 17-15-35.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6614860250009067
2026-05-11 17-15-48.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6485105392303553
2026-05-11 17-16-10.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6630228018984204
2026-05-11 17-16-23.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6679213202606866
2026-05-11 17-16-35.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6687598073065874
2026-05-11 17-18-20.wav,music,48000,0.1,10,0.00020833333333333335,20,0.06573964753887512
2026-05-11 17-18-59.wav,music,48000,0.1,10,0.00020833333333333335,20,0.10508243270242056
2026-05-11 17-19-28.wav,music,48000,0.1,10,0.00020833333333333335,20,0.06912697082207388
2026-05-11 17-20-13.wav,music,48000,0.1,10,0.00020833333333333335,20,0.03761406918914763
2026-05-11 17-20-39.wav,music,48000,0.1,10,0.00020833333333333335,20,0.02798707682090019
2026-05-11 17-21-31.wav,music,48000,0.1,10,0.00020833333333333335,20,0.18846092414523197
2026-05-11 17-24-03.wav,music,48000,0.1,10,0.00020833333333333335,20,0.021646766518956168
2026-05-11 17-26-42.wav,music,48000,0.1,10,0.00020833333333333335,20,0.09158761409119039
2026-05-11 17-29-53.wav,music,48000,0.1,10,0.00020833333333333335,20,0.052201514322011644
