,,H_Q,H_Q,h_hat,h_hat,H_max,H_max,h_Gauss,h_Gauss,gap_h_Gauss_minus_h_hat,gap_h_Gauss_minus_h_hat
,,mean,std,mean,std,mean,std,mean,std,mean,std
delta,class,,,,,,,,,,
0.05,music,3.047937724280872,0.5221763127975104,-1.2739903706064906,0.5221763127975104,5.321928094887363,0.0,-1.2321820570373547,0.5377404853048634,0.041808313569136,0.046080710881030176
0.05,noise,0.9905552843249206,0.00152853706466649,-3.331372810562442,0.0015285370646665353,5.321928094887363,0.0,-6.515936540459217,0.022201667220501563,-3.184563729896775,0.020785305266373136
0.1,music,2.1388063702140334,0.4628270219480876,-1.1831217246733288,0.46282702194808767,4.321928094887363,0.0,-1.2321820570373547,0.5377404853048634,-0.049060332364025794,0.08569961071225213
0.1,noise,0.9914998907737369,0.0014384825460861653,-2.3304282041136255,0.00143848254608613,4.321928094887363,0.0,-6.515936540459217,0.022201667220501563,-4.185508336345592,0.020869261792145478
0.2,music,1.4152149011349089,0.31219211360371757,-0.9067131937524533,0.3121921136037176,3.3219280948873626,0.0,-1.2321820570373547,0.5377404853048634,-0.3254688632849012,0.2462835389677348
0.2,noise,0.9914998907737369,0.0014384825460861653,-1.3304282041136253,0.0014384825460862078,3.3219280948873626,0.0,-6.515936540459217,0.022201667220501563,-5.185508336345592,0.020869261792145478
0.5,music,1.028290242336998,0.04126026187563808,0.02829024233699795,0.041260261875638075,2.0,0.0,-1.2321820570373547,0.5377404853048634,-1.2604722993743525,0.502697404244584
0.5,noise,0.9914998907737369,0.0014384825460861653,-0.008500109226263075,0.0014384825460861841,2.0,0.0,-6.515936540459217,0.022201667220501563,-6.507436431232954,0.020869261792145533
